Code,Description,How to Use,Amount ($CAD),
Z175,Laceration Repair 5.1–10 cm,add if Laceration Repair 5.1–10 cm completed or performed during visit/encounter,$35.90 ,
Z176,Laceration Repair ≤ 5 cm,add if Laceration Repair ≤ 5 cm completed or performed during visit/encounter,$20.00 ,
Z177,Laceration Repair 5.1–10 cm – on Face/in layers/with bleeding vessels,add if Laceration Repair 5.1–10 cm – on Face/in layers/with bleeding vessels completed or performed during visit/encounter,$71.30 ,
Z179,Laceration Repair 10.1–15 cm,add if Laceration Repair 10.1–15 cm completed or performed during visit/encounter,$50.40 ,
Z187,Complex Laceration Repair – Face (20 min),add if Complex Laceration Repair – Face (20 min) completed or performed during visit/encounter,$92.30 ,
Z188,Complex Laceration Repair – Digit (20 min),add if Complex Laceration Repair – Digit (20 min) completed or performed during visit/encounter,$92.30 ,
Z189,Complex Laceration Repair Repair – Digit Zone 1 (20 min),add if Complex Laceration Repair Repair – Digit Zone 1 (20 min) completed or performed during visit/encounter,$92.30 ,
Z190,Laceration Repair 10.1–15 cm – on Face/in layers/with bleeding vessels,add if Laceration Repair 10.1–15 cm – on Face/in layers/with bleeding vessels completed or performed during visit/encounter,$101.45 ,
Z191,Laceration Repair >15.1 cm,add if Laceration Repair >15.1 cm completed or performed during visit/encounter,$77.30 ,
Z192,Laceration Repair >15.1 cm – on Face/in layers/with bleeding vessels,add if Laceration Repair >15.1 cm – on Face/in layers/with bleeding vessels completed or performed during visit/encounter,$154.95 ,
R629,Revision of amputated finger tip ,add if Revision of amputated finger tip  completed or performed during visit/encounter,$241.55 ,
R578 ,"Tendon repair, extensor ","add if Tendon repair, extensor  completed or performed during visit/encounter",$164.10 ,
E580 ,"Tendon repair, extensor (each additional) ","add if Tendon repair, extensor (each additional)  completed or performed during visit/encounter",$70.95 ,
R858 ,"Tendon repair, flexor ","add if Tendon repair, flexor  completed or performed during visit/encounter",$307.60 ,
E581 ,"Tendon repair, flexor (each additional) ","add if Tendon repair, flexor (each additional)  completed or performed during visit/encounter",$128.95 ,
R525 ,Muscle repair (including skin closure) ,add if Muscle repair (including skin closure)  completed or performed during visit/encounter,$88.60 ,
Z201,Cast/splint – Finger,add if Cast/splint – Finger completed or performed during visit/encounter,$10.25 ,
Z202,Cast/splint – Hand,add if Cast/splint – Hand completed or performed during visit/encounter,$14.90 ,
Z203,"Cast/splint – Wrist, Forearm, Arm","add if Cast/splint – Wrist, Forearm, Arm completed or performed during visit/encounter",$24.10 ,
Z204,Cast/splint Removal,add if Cast/splint Removal completed or performed during visit/encounter,$10.25 ,
Z213,Cast/splint – Leg (below knee),add if Cast/splint – Leg (below knee) completed or performed during visit/encounter,$24.10 ,
Z211,Cast/splint – Whole leg,add if Cast/splint – Whole leg completed or performed during visit/encounter,$28.80 ,
Z216,Cast/splint Wedging,add if Cast/splint Wedging completed or performed during visit/encounter,$10.25 ,
Z198 ,Cast/splint - Toes ,add if Cast/splint - Toes  completed or performed during visit/encounter,$10.25 ,
Z199 ,"Cast/splint - Foot, Ankle ","add if Cast/splint - Foot, Ankle  completed or performed during visit/encounter",$14.90 ,
Z311,Foreign Body Removal – Nose (simple),add if Foreign Body Removal – Nose (simple) completed or performed during visit/encounter,$10.55 ,
Z312,Foreign Body Removal – Nose (Complicated or with general anesthesia (+GA)),add if Foreign Body Removal – Nose (Complicated or with general anesthesia (+GA)) completed or performed during visit/encounter,$50.90 ,
Z314,Epistaxis – Cauterization,add if Epistaxis – Cauterization completed or performed during visit/encounter,$11.50 ,
Z315,Epistaxis – Anterior Packing,add if Epistaxis – Anterior Packing completed or performed during visit/encounter,$15.35 ,
Z316,Epistaxis – Anterior & Posterior Packing,add if Epistaxis – Anterior & Posterior Packing completed or performed during visit/encounter,$35.50 ,
Z322,Foreign Body Removal – Larynx (Direct),add if Foreign Body Removal – Larynx (Direct) completed or performed during visit/encounter,$106.45 ,
Z332,Thoracentesis (Therapeutic),add if Thoracentesis (Therapeutic) completed or performed during visit/encounter,$59.15 ,
M137,Thoracotomy,add if Thoracotomy completed or performed during visit/encounter,$390.65 ,
Z341,Chest Tube,add if Chest Tube completed or performed during visit/encounter,$69.80 ,
Z401,Pericardiocentesis,add if Pericardiocentesis completed or performed during visit/encounter,$131.70 ,
P009,Non OBGYN MD assists L&D/CS or  resuscitation of newborn,add if Non OBGYN MD assists L&D/CS or  resuscitation of newborn completed or performed during visit/encounter,$498.70 ,
Z432,Foreign Body Removal – Vaginal (with general anesthesia (+GA)),add if Foreign Body Removal – Vaginal (with general anesthesia (+GA)) completed or performed during visit/encounter,$54.10 ,
G365,Pap smear,add if Pap smear completed or performed during visit/encounter,$6.75 ,
Z437,Cardioversion (Chemical or Electricity Shock),add if Cardioversion (Chemical or Electricity Shock) completed or performed during visit/encounter. You can bill this with can bill with G395 or H Codes,$92.45 ,
Z459,Arterial Blood Gas (ABG),add if Arterial Blood Gas (ABG) completed or performed during visit/encounter,$10.20 ,
Z506,Incision and Drainage (I&D) - Oral Cavity,add if Incision and Drainage (I&D) - Oral Cavity completed or performed during visit/encounter,$50.90 ,
Z510,Incision and Drainage (I&D) - Pharyngeal,add if Incision and Drainage (I&D) - Pharyngeal completed or performed during visit/encounter,$91.10 ,
Z520,Gastrostomy Tube Change,add if Gastrostomy Tube Change completed or performed during visit/encounter,$10.65 ,
Z538,Hernia Reduction,add if Hernia Reduction completed or performed during visit/encounter,$25.25 ,
Z541,Foreign Body Removal – Rectum (with general anesthesia (+GA)),add if Foreign Body Removal – Rectum (with general anesthesia (+GA)) completed or performed during visit/encounter,$58.15 ,
Z543,Anoscopy,add if Anoscopy completed or performed during visit/encounter,$8.70 ,
Z756,Fecal Disimpaction,add if Fecal Disimpaction completed or performed during visit/encounter,$36.80 ,
Z545,Incision and Drainage (I&D) - Thrombosed Hemorrhoid,add if Incision and Drainage (I&D) - Thrombosed Hemorrhoid completed or performed during visit/encounter,$25.25 ,
Z590,Abdominal Paracentesis (for Diagnostic reasons),add if Abdominal Paracentesis (for Diagnostic reasons) completed or performed during visit/encounter,$25.25 ,
Z591,Abdominal Paracentesis (for Therapeutic reasons),add if Abdominal Paracentesis (for Therapeutic reasons) completed or performed during visit/encounter,$46.50 ,
Z611,Urinary Catheter (Foley),"add if Urinary Catheter (Foley) completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$8.55 ,
Z608,Manual urinary/foley catheter declotting &  bladder irrigation,"add if Manual urinary/foley catheter declotting &  bladder irrigation completed or performed during visit/encounter. these (*) codes do not bill with G codes. You can bill with “H” Codes,",$58.65 ,
Z714,"Incision and Drainage (I&D) - Vulva, Bartholin, or Skene’s gland","add if Incision and Drainage (I&D) - Vulva, Bartholin, or Skene’s gland completed or performed during visit/encounter",$17.30 ,
Z715,"Incision and Drainage (I&D) - Vulva, Bartholin or skene's gland (general anesthesia (+GA))","add if Incision and Drainage (I&D) - Vulva, Bartholin or skene's gland (general anesthesia (+GA)) completed or performed during visit/encounter",$50.90 ,
Z728,Incision and Drainage (I&D) - Vaginal,add if Incision and Drainage (I&D) - Vaginal completed or performed during visit/encounter,$115.00 ,
Z741,Tracheotomy,add if Tracheotomy completed or performed during visit/encounter,$273.15 ,
Z783,Laceration repair with Secondary Wound Closure,add if Laceration repair with Secondary Wound Closure completed or performed during visit/encounter,$97.35 ,
Z847,Foreign Body Removal – Cornea (once),add if Foreign Body Removal – Cornea (once) completed or performed during visit/encounter,$33.00 ,
Z848,Foreign Body Removal – Cornea (twice),add if Foreign Body Removal – Cornea (twice) completed or performed during visit/encounter,$45.00 ,
Z854,Incision and Drainage (I&D) - Eyelid,add if Incision and Drainage (I&D) - Eyelid completed or performed during visit/encounter,$60.00 ,
Z866,Foreign Body Removal – Ear (Complicated or with general anesthesia (+GA)),add if Foreign Body Removal – Ear (Complicated or with general anesthesia (+GA)) completed or performed during visit/encounter,$50.90 ,
Z915,Foreign Body Removal – Ear (Simple),add if Foreign Body Removal – Ear (Simple) completed or performed during visit/encounter,$10.55 ,
K005,Primary mental health care – 20 mins,add if Primary mental health care – 20 mins completed or performed during visit/encounter,$34.40 ,
K013,Add’l primary mental health care – per 10 mins,add if Add’l primary mental health care – per 10 mins completed or performed during visit/encounter,$17.15 ,
K017,Individual care (non-mental health) – per 30 mins,add if Individual care (non-mental health) – per 30 mins completed or performed during visit/encounter,$62.75 ,
K022,Smoking cessation (Initial),add if Smoking cessation (Initial) completed or performed during visit/encounter,$15.90 ,
K023,Smoking cessation (Follow-up),add if Smoking cessation (Follow-up) completed or performed during visit/encounter,$7.80 ,
K030,Interview with relative(s) of patient,add if Interview with relative(s) of patient completed or performed during visit/encounter,$34.40 ,
K035,Case conference – Physician attendance (first 30 mins),add if Case conference – Physician attendance (first 30 mins) completed or performed during visit/encounter,$75.00 ,
K036,Case conference – Add’l 15 mins,add if Case conference – Add’l 15 mins completed or performed during visit/encounter,$37.50 ,
K037,Case conference – Physician’s preparation time,add if Case conference – Physician’s preparation time completed or performed during visit/encounter,$31.25 ,
K050,"Form: Insurance, disability, etc.","add if Form: Insurance, disability, etc. completed or performed during visit/encounter",$40.00 ,
K051,Completion of forms for outside agency,add if Completion of forms for outside agency completed or performed during visit/encounter,$26.25 ,
K070,Transfer of records (up to 20 pages),add if Transfer of records (up to 20 pages) completed or performed during visit/encounter,$30.00 ,
K071,Transfer of records (each additional 10 pages),add if Transfer of records (each additional 10 pages) completed or performed during visit/encounter,0.25/page,
K100,"Immunization administration (e.g., tetanus, HBV, etc.)","add if Immunization administration (e.g., tetanus, HBV, etc.) completed or performed during visit/encounter",$5.10 ,
K130,"Intradermal testing (TB, allergy, etc.)","add if Intradermal testing (TB, allergy, etc.) completed or performed during visit/encounter",$4.75 ,
K200,Minor procedural tray fee,add if Minor procedural tray fee completed or performed during visit/encounter,$10.00 ,
K201,Major procedural tray fee,add if Major procedural tray fee completed or performed during visit/encounter,$20.00 ,
K222,INR test (point of care),add if INR test (point of care) completed or performed during visit/encounter,$2.00 ,
F004,Phalanx fracture – No reduction,add if Phalanx fracture – No reduction completed or performed during visit/encounter,$49.20 ,
F008 ,Metacarpal fracture – No reduction,add if Metacarpal fracture – No reduction completed or performed during visit/encounter,$49.20 ,
F012 ,Bennett’s fracture – No reduction,add if Bennett’s fracture – No reduction completed or performed during visit/encounter,$49.20 ,
F018 ,Scaphoid fracture – No reduction,add if Scaphoid fracture – No reduction completed or performed during visit/encounter,$49.20 ,
F102 ,Carpus fracture – No reduction,add if Carpus fracture – No reduction completed or performed during visit/encounter,$49.20 ,
F027 ,"Distal Radius (Colles’, Smith’s, Barton’s) fracture – No reduction","add if Distal Radius (Colles’, Smith’s, Barton’s) fracture – No reduction completed or performed during visit/encounter",$67.75 ,
F031 ,Radius or Ulna fracture – No reduction,add if Radius or Ulna fracture – No reduction completed or performed during visit/encounter,$81.30 ,
F024 ,Radius or Ulna Shaft fracture – No reduction,add if Radius or Ulna Shaft fracture – No reduction completed or performed during visit/encounter,$67.75 ,
F014 ,Radius & Ulna (Monteggia) fracture – No reduction,add if Radius & Ulna (Monteggia) fracture – No reduction completed or performed during visit/encounter,$67.75 ,
F034 ,Olecranon fracture – No reduction,add if Olecranon fracture – No reduction completed or performed during visit/encounter,$126.26 ,
F039 ,Transcondylar or Condylar (Elbow) fracture – No reduction,add if Transcondylar or Condylar (Elbow) fracture – No reduction completed or performed during visit/encounter,$67.75 ,
F029 ,Epicondyle fracture – No reduction,add if Epicondyle fracture – No reduction completed or performed during visit/encounter,$67.67 ,
F047 ,Humeral Tuberosity fracture – No reduction,add if Humeral Tuberosity fracture – No reduction completed or performed during visit/encounter,$67.80 ,
F053 ,Humerus Neck (no dislocation) fracture – No reduction,add if Humerus Neck (no dislocation) fracture – No reduction completed or performed during visit/encounter,$67.80 ,
F050 ,Humerus Neck (with dislocation) fracture – No reduction,add if Humerus Neck (with dislocation) fracture – No reduction completed or performed during visit/encounter,$67.80 ,
F042 ,Humerus Shaft fracture – No reduction,add if Humerus Shaft fracture – No reduction completed or performed during visit/encounter,$67.80 ,
F119 ,Scapula fracture – No reduction,add if Scapula fracture – No reduction completed or performed during visit/encounter,$67.80 ,
F005 ,Phalanx fracture – reduction,add if Phalanx fracture – reduction completed or performed during visit/encounter,$99.25 ,
E558 ,Phalanx fracture reduction - each additional after the first,add if Phalanx fracture reduction - each additional after the first completed or performed during visit/encounter,$22.25 ,
F009 ,Metacarpal fracture – reduction,add if Metacarpal fracture – reduction completed or performed during visit/encounter,$99.25 ,
E504 ,Metacarpal fracture reduction - each additional after the first,add if Metacarpal fracture reduction - each additional after the first completed or performed during visit/encounter,$22.20 ,
F013 ,Bennett’s fracture – reduction,add if Bennett’s fracture – reduction completed or performed during visit/encounter,$199.80 ,
F016 ,Carpus fracture – reduction,add if Carpus fracture – reduction completed or performed during visit/encounter,$115.10 ,
F028 ,"Distal Radius (Colles’, Smith’s, Barton’s) fracture – reduction with general anesthesia (+GA)","add if Distal Radius (Colles’, Smith’s, Barton’s) fracture – reduction with general anesthesia (+GA) completed or performed during visit/encounter",$109.45 ,
F046,"Distal Radius (Colles’, Smith’s, Barton’s) fracture – reduction ","add if Distal Radius (Colles’, Smith’s, Barton’s) fracture – reduction  completed or performed during visit/encounter",$149.35 ,
F032 ,Radius or Ulna fracture – reduction,add if Radius or Ulna fracture – reduction completed or performed during visit/encounter,$117.85 ,
F025 ,Radius or Ulna Shaft fracture – reduction,add if Radius or Ulna Shaft fracture – reduction completed or performed during visit/encounter,$148.50 ,
F022 ,Radius & Ulna (Monteggia) fracture – reduction,add if Radius & Ulna (Monteggia) fracture – reduction completed or performed during visit/encounter,$144.80 ,
F035 ,Olecranon fracture – reduction,add if Olecranon fracture – reduction completed or performed during visit/encounter,$129.00 ,
F040 ,Transcondylar or Condylar (Elbow) fracture – reduction,add if Transcondylar or Condylar (Elbow) fracture – reduction completed or performed during visit/encounter,$298.35 ,
F037 ,Epicondyle fracture – reduction,add if Epicondyle fracture – reduction completed or performed during visit/encounter,$126.25 ,
F048 ,Humeral Tuberosity fracture – reduction,add if Humeral Tuberosity fracture – reduction completed or performed during visit/encounter,$117.85 ,
F054 ,Humerus Neck (no dislocation) fracture – reduction,add if Humerus Neck (no dislocation) fracture – reduction completed or performed during visit/encounter,$133.60 ,
F051 ,Humerus Neck (with dislocation) fracture – reduction,add if Humerus Neck (with dislocation) fracture – reduction completed or performed during visit/encounter,$183.80 ,
F043 ,Humerus Shaft fracture – reduction,add if Humerus Shaft fracture – reduction completed or performed during visit/encounter,$147.60 ,
F056 ,Phalanx (toe) fracture - no reduction,add if Phalanx (toe) fracture - no reduction completed or performed during visit/encounter,$49.20 ,
F066 ,Tarsus (not including calcaneus) fracture - no reduction,add if Tarsus (not including calcaneus) fracture - no reduction completed or performed during visit/encounter,$98.10 ,
F070 ,Calcaneus fracture - no reduction,add if Calcaneus fracture - no reduction completed or performed during visit/encounter,$97.35 ,
F061,Metatarsus fracture managed with a boot,add if Metatarsus fracture managed with a boot completed or performed during visit/encounter,$49.20 ,
F074 ,Ankle fracture - no reduction,add if Ankle fracture - no reduction completed or performed during visit/encounter,$67.76 ,
F082 ,Fibula fracture - no reduction,add if Fibula fracture - no reduction completed or performed during visit/encounter,$67.75 ,
F078 ,Tibia +/- Fibula fracture - no reduction,add if Tibia +/- Fibula fracture - no reduction completed or performed during visit/encounter,$115.95 ,
F085 ,Patella fracture - no reduction,add if Patella fracture - no reduction completed or performed during visit/encounter,$67.75 ,
F058 ,Phalanx (toe) fracture - closed reduction,add if Phalanx (toe) fracture - closed reduction completed or performed during visit/encounter,$72.35 ,
E560,Phalanx (toe) fracture - other management,add if Phalanx (toe) fracture - other management completed or performed during visit/encounter,$12.05 ,
F067 ,Tarsus (not including calcaneus) fracture - closed reduction,add if Tarsus (not including calcaneus) fracture - closed reduction completed or performed during visit/encounter,$165.20 ,
F071 ,Calcaneus fracture - closed reduction,add if Calcaneus fracture - closed reduction completed or performed during visit/encounter,$161.45 ,
F063 ,Metatarsus fracture - closed reduction,add if Metatarsus fracture - closed reduction completed or performed during visit/encounter,$98.35 ,
F062,Metatarsus fracture - managed with a cast,add if Metatarsus fracture - managed with a cast completed or performed during visit/encounter,$67.75 ,
F075 ,Ankle fracture - closed reduction,add if Ankle fracture - closed reduction completed or performed during visit/encounter,$144.80 ,
F083 ,Fibula fracture - closed reduction,add if Fibula fracture - closed reduction completed or performed during visit/encounter,$101.25 ,
F079 ,Tibia +/- Fibula fracture - closed reduction,add if Tibia +/- Fibula fracture - closed reduction completed or performed during visit/encounter,$180.05 ,
F094,Femur shaft fracture - closed reduction in a child <12 years old,add if Femur shaft fracture - closed reduction in a child <12 years old completed or performed during visit/encounter,$258.00 ,
F095,Femur shaft fracture - closed reduction in a person >12 years old,add if Femur shaft fracture - closed reduction in a person >12 years old completed or performed during visit/encounter,$407.35 ,
P036,Vaginal Laceration Repair Repair,add if Vaginal Laceration Repair Repair completed or performed during visit/encounter,$54.40 ,
R024,Earlobe Laceration Repair Repair,add if Earlobe Laceration Repair Repair completed or performed during visit/encounter,$100.65 ,
D001 ,Finger Interphalangeal (IP Joint) dislocation,add if Finger Interphalangeal (IP Joint) dislocation completed or performed during visit/encounter,57.5,
D004 ,Metacarpophalangeal (MCP) dislocation,add if Metacarpophalangeal (MCP) dislocation completed or performed during visit/encounter,57.5,
D007 ,Carpal/wrist bone dislocation,add if Carpal/wrist bone dislocation completed or performed during visit/encounter,128.05,
D009 ,Elbow dislocation ,add if Elbow dislocation  completed or performed during visit/encounter,84.45,
D012 ,Elbow (pulled) or radial head dislocation,add if Elbow (pulled) or radial head dislocation completed or performed during visit/encounter,39,
D015 ,Shoulder dislocation,add if Shoulder dislocation completed or performed during visit/encounter,49.2,
D016 ,Shoulder dislocation with general anesthesia,add if Shoulder dislocation with general anesthesia completed or performed during visit/encounter,111.4,
D014 ,sternoclavicular (SC) joint or acromioclavicular (AC) dislocation,add if sternoclavicular (SC) joint or acromioclavicular (AC) dislocation completed or performed during visit/encounter,67.8,
D025 ,sternoclavicular (SC) joint or acromioclavicular (AC) dislocation with general anesthesia,add if sternoclavicular (SC) joint or acromioclavicular (AC) dislocation with general anesthesia completed or performed during visit/encounter,134.55,
D027 ,Toe interphalangeal (IP) Joint dislocation,add if Toe interphalangeal (IP) Joint dislocation completed or performed during visit/encounter,57.5,
E578,Toe interphalangeal (IP) Joint dislocation - each additional after the first one,add if Toe interphalangeal (IP) Joint dislocation - each additional after the first one completed or performed during visit/encounter,10.25,
D030 ,Metatarsophalangeal (MTP) dislocation,add if Metatarsophalangeal (MTP) dislocation completed or performed during visit/encounter,57.5,
E579,Metatarsophalangeal (MTP) dislocation - each additional after the first one,add if Metatarsophalangeal (MTP) dislocation - each additional after the first one completed or performed during visit/encounter,10.25,
D035 ,Ankle dislocation,add if Ankle dislocation completed or performed during visit/encounter,111.35,
D040 ,Patella dislocation,add if Patella dislocation completed or performed during visit/encounter,62.2,
D031,Patella dislocation with general anesthesia,add if Patella dislocation with general anesthesia completed or performed during visit/encounter,97.35,
D038 ,Knee dislocation,add if Knee dislocation completed or performed during visit/encounter,207.9,
D042 ,Hip dislocation,add if Hip dislocation completed or performed during visit/encounter,268.25,
D062 ,TMJ dislocation,add if TMJ dislocation completed or performed during visit/encounter,51.65,
F136 ,Nasal dislocation,add if Nasal dislocation completed or performed during visit/encounter,102.35,
